smi,mw
CCN(CC)C(=O)N1CCN(C)CC1,199.298
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,315.587
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,354.487
N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,612.6400000000004
CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1,222.372
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,372.8080000000001
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,482.82100000000014
O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,482.196
NNC(=O)c1ccncc1,137.142
Oc1ccc(O)cc1,110.11199999999998
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,305.205
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,315.4170000000001
CC(N)C(=O)O,89.09399999999998
C=CCOc1ccc(CC(=O)O)cc1Cl,226.659
Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,371.4660000000001
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,384.4350000000001
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34099999999995
CC(=O)O[C@@H]1[C@H](c2ccc(=O)oc2)[C@@]2(C)CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C)[C@]23O[C@H]13,458.5510000000002
NC1=NC(=O)C(c2ccccc2)O1,176.17499999999998
COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,367.8770000000003
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,312.377
CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,324.341
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],388.4200000000001
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,336.29900000000004
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,204.357
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,238.287
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,253.283
CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,223.319
CC(C)(C)C(=O)NCCCC(=O)O,187.239
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,560.6800000000004
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,363.3950000000001
Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,329.4070000000001
Nc1ncnc2c1nc(Cl)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,301.69
CCCN1CC(NS(=O)(=O)N(CC)CC)CC2Cc3c(O)cccc3CC21,395.5690000000001
CC(O)(P(=O)(O)O)P(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,511.2100000000002
Cc1ccccc1CN1C(=O)C2=C(CCN(Cc3ccccc3)C2)N2CCN=C12,386.49900000000014
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,242.231
Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,454.9130000000002
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,381.9070000000002
C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1,495.44500000000016
COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,345.8700000000001
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,426.5600000000003
CC(C)C[C@@H](C(=O)Nc1ccn(C[C@@H](O)CO)n1)N1CC(Oc2ccccc2Cl)=CC1=O,462.93400000000025
CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccc(N(C)C)cc2)CCCC1,421.62900000000025
Oc1ccc(Oc2sc3cc(O)ccc3c2-c2ccc(F)cc2)cc1,352.386
NC(=O)c1ccc(Oc2ccc(CNCCC3CCOCC3)cc2F)nc1,373.4280000000001
CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,500.5480000000004
Oc1noc2c1CCNC2,140.142
CC1=C(CC(=O)NCc2ccccc2)c2cc(F)ccc2/C1=C\c1ccncc1,384.4540000000001
CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,358.4860000000002
NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,446.4480000000001
[2H]c1c([2H])c([2H])c2c([nH]c(=O)n2CCCN2CCC(n3c(=O)[nH]c4cc(Cl)ccc43)CC2)c1[2H],429.9444071120001
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,423.4720000000001
CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,291.391
